m,s
1.8126697339684945, 2.903498245878676e-41
1.8436871478133614, 2.594437537802746e-41
1.8847564505072585, 2.286004862881896e-41
1.923982314081768, 2.0375627640495688e-41
1.963720395476252, 1.8223403445768133e-41
2.004279230316002, 1.6417634587475782e-41
2.0456757705069566, 1.5127494052997682e-41
2.0879273180810447, 1.404990883091053e-41
2.1310515324277177, 1.298875297996538e-41
2.1750664376748428, 1.2071506758499035e-41
2.219990430222032, 1.1152389376820213e-41
2.2654212151648188, 1.0462695848808096e-41
2.309300634008007, 1.0003140983195423e-41
2.360406642318813, 9.489663242418226e-42
2.422628561241465, 8.925844536921918e-42
2.47522008896932, 8.495073824178809e-42
2.5425678800711164, 7.948805898681194e-42
2.5950822761909618, 7.57066021049446e-42
2.644341383161897, 7.236402480413936e-42
2.6827780923960565, 6.992494380461857e-42
2.7304948808101184, 6.573622365598849e-42
2.788867817705355, 6.211378077097186e-42
2.8477921714494365, 5.987827947418062e-42
2.9066106939874885, 5.706747857135854e-42
2.9666440588964984, 5.4929967723573395e-42
3.030263029310221, 5.2656534898107764e-42
3.085076205020905, 5.021457100411676e-42
3.183734796963753, 4.7275932735786177e-42
3.2494919047990076, 4.5446149861873725e-42
3.3166071650893536, 4.3803026960317847e-42
3.3851086292219636, 4.216344921307637e-42
3.45502492795956, 4.0585242000608325e-42
3.5263852834068787, 3.8095598532626836e-42
3.5992195212242937, 3.4411684540597605e-42
3.6735580830937082, 3.104288288018597e-42
3.7494320394419054, 2.8022421995043483e-42
3.8268731024266947, 2.5279110151815173e-42
3.905913639191281, 2.2819462195809718e-42
3.9865866853923766, 2.0585504656060366e-42
4.068925959007734, 1.8830216938218083e-42
4.152965874428863, 1.7293152982395088e-42
4.238741556844806, 1.5881555749129614e-42
4.326288856923013, 1.4575531296710242e-42
4.415644365793427, 1.3385766788598137e-42
4.506845430342057, 1.2284984282372297e-42
4.599930168820418, 1.1282191452091003e-42
4.694937486777375, 1.0339327596336926e-42
4.784055442691466, 9.597014358548023e-43
4.853593872631611, 9.08870268297366e-43
4.939921516548408, 8.399471869109937e-43
5.022551105077386, 7.937956174146766e-43
5.125753555196864, 7.539470542507684e-43
5.229306770449299, 7.170496833554334e-43
5.321960209862444, 6.807943795664548e-43
5.427339435708727, 6.410383301226461e-43
5.539436129463738, 6.1202180054211005e-43
5.653848077110581, 5.732485065348808e-43
5.770623098084459, 5.468819216915328e-43
5.889809999486935, 5.2999132516225676e-43
6.0042337470746965, 5.04681920813455e-43
6.12920881461911, 4.740158110547066e-43
6.255698166252562, 4.632242133412457e-43
6.387121039459961, 4.509042279576406e-43
6.523702704151416, 4.419706225777789e-43
6.65844377071611, 4.29104461785977e-43
6.795967789822071, 4.163371340958971e-43
6.936332240789039, 4.03949678140703e-43
7.079595790119121, 3.921903411050378e-43
7.225818316016954, 3.8077332890585925e-43
7.375060933416312, 3.694440179834158e-43
7.527386019523585, 3.582145712088215e-43
7.682857239888877, 3.475564606057545e-43
7.841539575015545, 3.3766224389528498e-43
8.003499347519355, 3.254539365332449e-43
8.168804249848566, 3.2263251069412864e-43
8.337523372576582, 3.1792081886342517e-43
8.5097272332789, 3.0620569652114236e-43
8.685487806006558, 3.078006669454074e-43
8.864878551368275, 3.0157035781703927e-43
9.047974447233935, 2.9201707192816337e-43
9.23485202007222, 2.8672497557422613e-43
9.425589376935497, 2.8134247115592345e-43
9.620266238105296, 2.7551328416905116e-43
9.818963970412096, 2.7069942623819932e-43
10.021765621243262, 2.659696776026518e-43
10.228755953253389, 2.651564032752816e-43
10.440021479791598, 2.6522206832977648e-43
10.655650501060501, 2.6528774964599643e-43
10.875733141021978, 2.6535344722796426e-43
11.10036138506532, 2.6541916107970815e-43
11.329629118453205, 2.6548489120525722e-43
11.563632165561925, 2.6555063760863734e-43
11.802468329931903, 2.656164002938883e-43
12.046237435145576, 2.6568217926503792e-43
12.295041366549471, 2.657479745261193e-43
12.548984113838008, 2.6528639242946173e-43
12.808171814516946, 2.5858876731683033e-43
13.072712798264352, 2.54575716576876e-43
13.342717632207982, 2.6286027110478575e-43
13.618299167137716, 2.634480674260953e-43
13.899572584672438, 2.6229498755902764e-43
14.186655445401268, 2.6028396862244227e-43
14.479667738018883, 2.6103875811899587e-43
14.778731929475915, 2.614493407626736e-43
14.958346956573846, 2.625283150524146e-43
