mass(GeV) limit(cm2) -2sigma -1sigma median +1sigma +2sigma
9.0 3.65957e-46 1.87274e-46 2.86600e-46 4.69686e-46 9.00306e-46 1.37406e-45
11.0 9.77874e-47 5.38314e-47 8.72694e-47 1.52889e-46 2.81362e-46 4.40747e-46
13.0 3.90182e-47 2.57351e-47 4.09629e-47 7.44346e-47 1.39013e-46 2.15558e-46
16.0 1.45840e-47 1.20782e-47 2.15010e-47 4.09400e-47 7.39797e-47 1.12854e-46
17.0 1.16681e-47 1.09910e-47 1.87178e-47 3.52884e-47 6.60765e-47 9.80559e-47
19.0 9.27590e-48 8.30032e-48 1.43991e-47 2.77503e-47 5.17858e-47 7.81010e-47
21.0 8.03574e-48 7.08033e-48 1.25847e-47 2.42580e-47 4.55408e-47 6.93006e-47
23.0 7.04739e-48 5.93374e-48 1.10647e-47 2.21701e-47 3.96708e-47 6.08214e-47
26.0 6.18977e-48 5.45719e-48 9.83786e-48 1.98015e-47 3.63123e-47 5.44073e-47
29.0 5.90780e-48 4.75337e-48 9.49949e-48 1.85997e-47 3.35942e-47 5.09218e-47
30.0 5.89906e-48 4.88316e-48 8.72410e-48 1.82956e-47 3.31300e-47 5.05419e-47
32.0 6.51532e-48 4.61978e-48 8.38801e-48 1.78874e-47 3.22298e-47 4.91585e-47
36.0 7.40761e-48 4.45552e-48 8.48982e-48 1.80092e-47 3.22124e-47 4.89839e-47
40.0 9.07198e-48 4.56783e-48 8.61977e-48 1.75504e-47 3.22781e-47 4.96630e-47
43.0 9.70659e-48 4.32728e-48 8.68136e-48 1.83114e-47 3.27547e-47 4.98665e-47
46.0 1.08338e-47 4.61875e-48 8.84903e-48 1.85193e-47 3.30026e-47 5.02911e-47
55.0 1.35594e-47 4.58009e-48 8.91606e-48 1.92722e-47 3.43251e-47 5.27374e-47
65.0 1.66988e-47 5.00687e-48 9.86693e-48 2.08789e-47 3.75245e-47 5.71146e-47
78.0 2.04389e-47 5.47644e-48 1.07039e-47 2.32229e-47 4.16587e-47 6.49248e-47
91.0 2.37212e-47 6.02736e-48 1.19378e-47 2.58468e-47 4.64379e-47 7.10808e-47
110.0 2.93210e-47 6.95712e-48 1.38513e-47 2.96733e-47 5.35641e-47 8.32685e-47
129.0 3.47743e-47 8.07181e-48 1.59159e-47 3.41794e-47 6.09428e-47 9.41505e-47
155.0 4.25702e-47 9.27916e-48 1.83532e-47 4.00856e-47 7.09999e-47 1.08643e-46
182.0 4.95534e-47 1.04941e-47 2.15964e-47 4.62483e-47 8.29296e-47 1.26347e-46
219.0 6.01853e-47 1.24920e-47 2.41154e-47 5.42319e-47 9.65271e-47 1.48324e-46
256.0 7.06207e-47 1.41212e-47 2.90633e-47 6.31839e-47 1.13089e-46 1.73991e-46
308.0 8.39994e-47 1.69450e-47 3.37337e-47 7.50248e-47 1.32634e-46 2.04252e-46
361.0 9.80909e-47 1.98622e-47 3.90543e-47 8.78203e-47 1.57539e-46 2.43903e-46
434.0 1.19226e-46 2.33359e-47 4.86000e-47 1.04532e-46 1.85892e-46 2.82733e-46
508.0 1.40025e-46 2.78523e-47 5.77662e-47 1.18862e-46 2.15311e-46 3.30887e-46
612.0 1.66786e-46 3.37781e-47 6.56530e-47 1.41232e-46 2.59386e-46 3.93163e-46
716.0 1.94522e-46 3.87901e-47 7.69925e-47 1.65414e-46 3.06429e-46 4.60638e-46
862.0 2.32288e-46 4.63109e-47 8.99183e-47 2.01995e-46 3.66026e-46 5.53491e-46
1008.0 2.74710e-46 5.29927e-47 1.11764e-46 2.34070e-46 4.27753e-46 6.57252e-46
1214.0 3.26674e-46 6.44851e-47 1.26743e-46 2.86025e-46 5.15456e-46 7.76911e-46
1420.0 3.90159e-46 7.57003e-47 1.54591e-46 3.35725e-46 5.95948e-46 9.13707e-46
1710.0 4.63137e-46 9.37318e-47 1.78604e-46 4.02718e-46 7.14538e-46 1.09955e-45
2000.0 5.47851e-46 1.06036e-46 2.13575e-46 4.62836e-46 8.43852e-46 1.27586e-45
5000.0 1.35492e-45 2.59264e-46 5.34952e-46 1.17119e-45 2.03501e-45 3.16386e-45
10000.0 2.73165e-45 5.23761e-46 1.04425e-45 2.31635e-45 4.14922e-45 6.32741e-45
