mass pc_limit raw_limit -2sigma -1sigma median +1sigma +2sigma
9.0 3.88141e-46 3.88141e-46 2.04126e-46 3.17280e-46 4.97560e-46 9.51979e-46 1.42783e-45
11.0 1.05545e-46 1.05545e-46 5.89847e-47 9.20887e-47 1.60109e-46 3.01362e-46 4.59183e-46
13.0 4.40606e-47 4.19377e-47 2.74568e-47 4.40606e-47 7.91021e-47 1.49659e-46 2.31257e-46
16.0 2.28511e-47 1.52720e-47 1.35134e-47 2.28511e-47 4.33438e-47 8.06485e-47 1.21679e-46
17.0 1.88394e-47 1.28035e-47 1.07831e-47 1.88394e-47 3.71249e-47 6.95047e-47 1.03232e-46
19.0 1.55761e-47 9.11463e-48 9.05431e-48 1.55761e-47 3.02785e-47 5.46711e-47 8.45570e-47
21.0 1.31963e-47 7.05815e-48 7.20751e-48 1.31963e-47 2.52720e-47 4.68090e-47 7.18330e-47
23.0 1.15272e-47 6.62581e-48 6.60698e-48 1.15272e-47 2.30312e-47 4.19508e-47 6.49984e-47
26.0 1.01760e-47 6.15979e-48 5.70197e-48 1.01760e-47 2.13612e-47 3.82910e-47 5.81398e-47
29.0 9.53429e-48 6.61324e-48 5.21878e-48 9.53429e-48 1.96106e-47 3.54907e-47 5.47182e-47
30.0 9.37582e-48 6.53944e-48 5.01230e-48 9.37582e-48 1.94790e-47 3.47661e-47 5.41221e-47
32.0 9.27823e-48 6.91931e-48 5.02142e-48 9.27823e-48 1.87928e-47 3.37173e-47 5.28691e-47
36.0 9.16769e-48 8.17366e-48 4.73155e-48 9.16769e-48 1.87529e-47 3.35356e-47 5.19788e-47
40.0 9.49545e-48 9.49545e-48 4.60011e-48 8.99371e-48 1.87150e-47 3.34827e-47 5.13603e-47
43.0 1.02165e-47 1.02165e-47 4.68093e-48 8.82465e-48 1.86130e-47 3.40456e-47 5.15402e-47
46.0 1.13143e-47 1.13143e-47 4.71114e-48 8.96302e-48 1.89429e-47 3.42169e-47 5.28328e-47
55.0 1.43786e-47 1.43786e-47 4.82629e-48 9.50129e-48 2.01738e-47 3.59796e-47 5.47968e-47
65.0 1.76318e-47 1.76318e-47 5.04383e-48 1.04408e-47 2.18061e-47 3.90770e-47 5.88966e-47
78.0 2.19292e-47 2.19292e-47 5.86436e-48 1.13770e-47 2.42290e-47 4.34868e-47 6.70775e-47
91.0 2.53863e-47 2.53863e-47 6.22698e-48 1.25267e-47 2.65247e-47 4.77092e-47 7.27199e-47
110.0 3.03790e-47 3.03790e-47 7.01214e-48 1.46225e-47 3.05142e-47 5.54494e-47 8.46294e-47
129.0 3.64334e-47 3.64334e-47 7.60334e-48 1.61980e-47 3.50995e-47 6.39448e-47 9.74352e-47
155.0 4.47954e-47 4.47954e-47 9.73602e-48 1.91733e-47 4.12107e-47 7.33375e-47 1.12975e-46
182.0 5.15116e-47 5.15116e-47 1.11116e-47 2.16785e-47 4.62217e-47 8.43040e-47 1.29984e-46
219.0 6.34341e-47 6.34341e-47 1.29054e-47 2.59163e-47 5.55323e-47 1.00636e-46 1.51905e-46
256.0 7.36760e-47 7.36760e-47 1.46977e-47 2.87713e-47 6.35311e-47 1.18463e-46 1.80526e-46
308.0 8.85464e-47 8.85464e-47 1.78825e-47 3.59750e-47 7.58051e-47 1.35397e-46 2.11144e-46
361.0 1.01762e-46 1.01762e-46 2.06108e-47 4.02745e-47 8.91867e-47 1.60167e-46 2.44711e-46
434.0 1.24217e-46 1.24217e-46 2.47851e-47 4.91657e-47 1.06176e-46 1.92706e-46 2.96366e-46
508.0 1.46316e-46 1.46316e-46 2.86454e-47 5.70207e-47 1.24386e-46 2.26798e-46 3.47726e-46
612.0 1.77592e-46 1.77592e-46 3.33976e-47 6.83530e-47 1.48338e-46 2.68071e-46 4.09581e-46
716.0 2.00948e-46 2.00948e-46 4.08856e-47 8.19336e-47 1.74104e-46 3.14314e-46 4.75253e-46
862.0 2.42561e-46 2.42561e-46 4.84987e-47 9.86407e-47 2.09529e-46 3.75627e-46 5.66635e-46
1008.0 2.89452e-46 2.89452e-46 5.68157e-47 1.13888e-46 2.45655e-46 4.40344e-46 6.67729e-46
1214.0 3.48215e-46 3.48215e-46 6.75125e-47 1.33729e-46 2.92816e-46 5.23747e-46 7.99455e-46
1420.0 4.09394e-46 4.09394e-46 7.73386e-47 1.58095e-46 3.40424e-46 6.17220e-46 9.37888e-46
1710.0 4.86699e-46 4.86699e-46 9.48416e-47 1.84231e-46 4.12606e-46 7.40384e-46 1.14271e-45
2000.0 5.75993e-46 5.75993e-46 1.11992e-46 2.17678e-46 4.82386e-46 8.59393e-46 1.32428e-45
5000.0 1.45172e-45 1.45172e-45 2.89203e-46 5.61062e-46 1.20299e-45 2.17949e-45 3.31192e-45
10000.0 2.79882e-45 2.79882e-45 5.44321e-46 1.09212e-45 2.38246e-45 4.31674e-45 6.57391e-45
