# DM-e- with heavy mediator and QCDark
# mass_ev,limit90CL_cm2
# Jelle: manually modified wimp_mass units from eV to GeV
# wimp_mass,upper_limit
7.54374000e-04,7.92501319e-25
8.00000000e-04,9.89855035e-27
8.48575800e-04,6.56298270e-30
9.00000000e-04,3.58771123e-31
1.00000000e-03,3.29982077e-32
1.20000000e-03,1.00511196e-33
1.63780000e-03,2.80274285e-35
2.00000000e-03,4.52817065e-36
2.68269000e-03,3.65801096e-37
3.50000000e-03,6.80531065e-38
4.39397000e-03,3.00218915e-38
5.50000000e-03,1.65785678e-38
7.19680000e-03,1.02126212e-38
9.00000000e-03,8.06909273e-39
1.17876800e-02,7.02274038e-39
1.50000000e-02,6.59199612e-39
1.93069770e-02,6.66700909e-39
3.16227700e-02,7.74774093e-39
5.17947000e-02,1.05162243e-38
8.48342898e-02,1.52462187e-38
1.38949500e-01,2.39992564e-38
2.27584593e-01,3.81162582e-38
3.72759372e-01,6.07698418e-38
6.10540230e-01,9.75896987e-38
1.,1.58826637e-37
