mass,limit,-2sigma,-1sigma,median,1sigma,2sigma,-nucl.unc.,+nucl.unc.,median_3sigma_disco
9,1.1573560694791334e-41,7.099652059842686e-42,1.164089565667355e-41,2.711118367280907e-41,4.925668794344045e-41,7.261560088523833e-41,3.7452899398094215e-41,1.0326183748975413e-41,5.276346321735532e-41
11,3.598084040679851e-42,2.0001430119907584e-42,3.617967170190195e-42,8.279193549545505e-42,1.442964899274787e-41,2.1527482300290622e-41,1.0257289296016109e-41,2.890587390326101e-42,1.6265570813980165e-41
13,1.6521813063414983e-42,9.434945375364006e-43,1.6940226176235938e-42,4.0113479022870795e-42,7.121925085945453e-42,1.0485898470082098e-41,4.8103472662444155e-42,1.2816106887119469e-42,7.959570397440071e-42
16,8.662401914631695e-43,4.796662247430809e-43,8.819257941435061e-43,2.110929501809264e-42,3.78269429953151e-42,5.6522905410640594e-42,2.4584147582889087e-42,6.8182938233768704e-43,4.2495467163561876e-42
17,7.566895031049836e-43,4.144209421302673e-43,7.773795784948096e-43,1.8115375254624942e-42,3.244789306033469e-42,4.8338234288338635e-42,1.974634783058374e-42,5.5419822771636394e-43,3.708655025083678e-42
19,6.197807995996982e-43,3.2069460328825614e-43,6.278849819894481e-43,1.4400020865228008e-42,2.5836024796200313e-42,3.834268913562428e-42,1.6607505517735308e-42,4.4009109104002506e-43,2.962727635328047e-42
21,5.261514721973366e-43,2.774969855682134e-43,5.362192439053259e-43,1.2281610583813434e-42,2.2180642893622544e-42,3.343825583093655e-42,1.3985008780433602e-42,3.666078948843993e-43,2.5560569895382624e-42
23,4.774006737381434e-43,2.2844319458643678e-43,4.88613531603503e-43,1.0972384046201564e-42,1.9254166432429256e-42,2.948059346218536e-42,1.169487657115414e-42,3.284305068189847e-43,2.2592087797207986e-42
26,4.044040511227228e-43,2.1139789766699794e-43,4.1135433030027435e-43,9.739807133284786e-43,1.7607576866374617e-42,2.6564781414091567e-42,1.0597545640844573e-42,2.780746876614304e-43,2.0171864266537265e-42
29,3.9716713794316146e-43,1.8738435172382192e-43,4.031661586706853e-43,9.18620215389505e-43,1.6566298621403027e-42,2.475504196256511e-42,9.598024142914717e-43,2.7910245855041147e-43,1.9144234931565367e-42
32,3.879379937198184e-43,1.8300626680653436e-43,3.942222454353343e-43,8.91819805754596e-43,1.595558939913604e-42,2.3665491965128523e-42,9.129985260688108e-43,2.579969378199182e-43,1.841762048953651e-42
36,3.728044415168834e-43,1.7868210861532178e-43,3.820290481382701e-43,8.683857037651353e-43,1.5411440172702224e-42,2.3184330427668406e-42,8.925866948829049e-43,2.4395836633096628e-43,1.792676251273223e-42
40,3.752214105469238e-43,1.7397154066544431e-43,3.8381857658937e-43,8.482755090463601e-43,1.5627793511923036e-42,2.3372964044516233e-42,9.159381787040419e-43,2.5209251220038334e-43,1.8120940863815644e-42
43,3.783562759968777e-43,1.7275749474329702e-43,3.838711550067013e-43,8.61603261936538e-43,1.5762566981467707e-42,2.3536784018865792e-42,9.423435137773187e-43,2.5132185738419965e-43,1.8296085251410585e-42
46,3.683530999682604e-43,1.6935371538746798e-43,3.765047822814277e-43,8.99765248484775e-43,1.6079430365486156e-42,2.405443372090398e-42,9.503209873764461e-43,2.5495435992231988e-43,1.860187611782628e-42
65,4.543050043683426e-43,2.1267999940619283e-43,4.647670052810939e-43,1.0432255770716564e-42,1.8758033679084385e-42,2.7758035268593502e-42,1.1541607763738389e-42,3.0252797892282867e-43,2.1700529804472838e-42
91,5.622539697220376e-43,2.4850512635758306e-43,5.726460810194688e-43,1.2947327847877372e-42,2.3136172658855083e-42,3.486173761071474e-42,1.4062422682907267e-42,3.820673728009532e-43,2.705308250745402e-42
129,7.486935977284392e-43,3.4072807389273316e-43,7.586741822938754e-43,1.716805558147795e-42,3.066725212417086e-42,4.625987782642777e-42,1.8366868470389618e-42,5.023748153134333e-43,3.6015667572561685e-42
182,1.0031939873593433e-42,4.59278209277028e-43,1.022209243584373e-42,2.2775821522238156e-42,4.1182921664276616e-42,6.190840834201574e-42,2.4882230234924278e-42,6.6049736506756344e-43,4.854410622588414e-42
256,1.3863126354984631e-42,6.235869144661916e-43,1.4141504994324532e-42,3.215326693361199e-42,5.756010645168297e-42,8.618651859656201e-42,3.406206811035183e-42,9.278265231035621e-43,6.577415027868233e-42
361,1.938184036590997e-42,8.707519230305357e-43,1.988925771380875e-42,4.403064774631044e-42,7.772885238494234e-42,1.1967689831776781e-41,4.649967100816316e-42,1.2689350323153796e-42,9.185397496132114e-42
508,2.6422031379242326e-42,1.2253597755835869e-42,2.691674567750727e-42,6.167910865990079e-42,1.1027816907845519e-41,1.641843182427808e-41,6.521550216345052e-42,1.7519474848290723e-42,1.2675873979680794e-41
1008,5.074226686662566e-42,2.3847008169235597e-42,5.1645452691235475e-42,1.1922589537759058e-41,2.163532005890264e-41,3.2047269107783837e-41,1.2809870689340346e-41,3.473356083847322e-42,2.4982832055388923e-41
2000,1.022939269758e-41,4.747806137443821e-42,1.0440860395378636e-41,2.344807445558726e-41,4.2666354770492064e-41,6.498322299022326e-41,2.5749057421732095e-41,6.837322746041999e-42,4.884268151793948e-41
5000,2.508906909215088e-41,1.2257193997845595e-41,2.5826213799397543e-41,5.881092652655448e-41,1.0758498745258248e-40,1.5968102725911939e-40,6.59514213612866e-41,1.7022076000533255e-41,1.2217416140586894e-40
10000,5.282685162623619e-41,2.2458726292232386e-41,5.322486700787674e-41,1.2083294205707573e-40,2.1019385427745718e-40,3.1927821916424952e-40,1.3568043582920047e-40,3.3593914767768476e-41,2.4473403871518418e-40
