mass,sensitivity_-2,sensitivity_-1,sensitivity_0,sensitivity_1,sensitivity_2,upper_limit
10.0,3.4586263957896997e-40,6.8392151172701984e-40,1.537746432331638e-39,2.7463773995529167e-39,4.244305597321384e-39,9.850657773635152e-40
10.476157527896646,2.620416367263147e-40,5.212561332459141e-40,1.162670868045468e-39,2.0712415747850773e-39,3.194207232854747e-39,7.478024341785255e-40
10.974987654930562,2.0259816460680846e-40,4.0467217319414295e-40,8.96455159999114e-40,1.5936200715407718e-39,2.452581283947539e-39,5.805153237762765e-40
11.497569953977358,1.596835732891482e-40,3.197508157105572e-40,7.042304366832419e-40,1.2497367930706564e-39,1.9194805306237897e-39,4.603610606642507e-40
12.045035402587825,1.2817563912343343e-40,2.5693604952345897e-40,5.631578889660336e-40,9.979948045251578e-40,1.529819159434356e-39,3.725584904971279e-40
12.618568830660204,1.0467241285117638e-40,2.0979367558337963e-40,4.5802526661198335e-40,8.107933822150873e-40,1.2404768526948342e-39,3.0736488337423097e-40
13.219411484660286,8.687632767122635e-41,1.7392524170537048e-40,3.785361011764042e-40,6.6951533901245334e-40,1.0224110168914142e-39,2.582443558312033e-40
13.84886371393873,7.321062770016321e-41,1.4627988819024416e-40,3.1761316791397264e-40,5.6140402199126e-40,8.55749718878129e-40,2.2073802230231697e-40
14.508287784959395,6.257649640518879e-41,1.2471173190747282e-40,2.7031972840624607e-40,4.7758578392178545e-40,7.266888566638898e-40,1.9175472911177287e-40
15.199110829529339,5.419681632942369e-41,1.0769104566499413e-40,2.3316306472724283e-40,4.117981354407381e-40,6.254993013769269e-40,1.6911828142359587e-40
15.922827933410924,4.751412184123483e-41,9.411316444727679e-41,2.0363820457176702e-40,3.5955944840483148e-40,5.452276252505133e-40,1.5127371636097387e-40
16.68100537200059,4.212297331601198e-41,8.317035664395973e-41,1.7992477852091421e-40,3.1761909988281644e-40,4.808367716141773e-40,1.3709378029341053e-40
17.47528400007684,3.772451737984547e-41,7.426480798602275e-41,1.6068288813254712e-40,2.835883084359929e-40,4.28629829970902e-40,1.2574950759666114e-40
18.307382802953676,3.40955506258996e-41,6.694879715807373e-41,1.4491386454524297e-40,2.5568901538422796e-40,3.858585361842628e-40,1.1662240927536848e-40
19.179102616724887,3.1067195336364876e-41,6.08830805002262e-41,1.3186411545782234e-40,2.325809218021926e-40,3.5045393117617738e-40,1.0924405434240877e-40
20.09233002565047,2.8510035059803483e-41,5.580762321411106e-41,1.209579612266502e-40,2.1324097112230512e-40,3.208388963099252e-40,1.0325394441234263e-40
21.049041445120206,2.63285219339127e-41,5.152710045581818e-41,1.1176577960692669e-40,1.9690847231323844e-40,2.958415686693487e-40,9.838431053737632e-41
22.051307399030456,2.446077058105484e-41,4.790535347067451e-41,1.0399344358055046e-40,1.8306938746213536e-40,2.7466865350672927e-40,9.446359844393282e-41
23.101297000831604,2.2858891870132408e-41,4.483620921970032e-41,9.74126704123571e-41,1.7132537336167636e-40,2.5670551068653208e-40,9.13623413424047e-41
24.201282647943824,2.1483649117579845e-41,4.2233837576354216e-41,9.183896667689693e-41,1.6135385157405289e-40,2.4145485862988335e-40,8.897719400783789e-41
25.353644939701113,2.0302766577402546e-41,4.002850319357374e-41,8.712248341526572e-41,1.5289234292376787e-40,2.285124371317282e-40,8.722552524171649e-41
26.560877829466865,1.9289596408577885e-41,3.816327435186501e-41,8.314093236650715e-41,1.4572630154996762e-40,2.1754812483455613e-40,8.604121541891934e-41
27.825594022071243,1.842206305495296e-41,3.6591457503552984e-41,7.979406477222806e-41,1.3967961075475105e-40,2.0829120258586566e-40,8.53713577770894e-41
29.150530628251772,1.7681823322005044e-41,3.5274585128600504e-41,7.699934127832157e-41,1.3460711425334257e-40,2.0051878488854588e-40,8.517363896829969e-41
30.538555088334153,1.705359492992162e-41,3.418082764069557e-41,7.468851442960761e-41,1.3038871170544379e-40,1.9404668461361494e-40,8.541423020397691e-41
31.992671377973846,1.65246172341172e-41,3.328373184287569e-41,7.280491370759396e-41,1.2692466212872492e-40,1.8872215551834654e-40,8.606606114339556e-41
33.516026509388425,1.608421605751043e-41,3.25612119612316e-41,7.130127376046092e-41,1.2413182403571476e-40,1.844180902866371e-40,8.710737877587224e-41
35.11191734215131,1.5723450850158669e-41,3.1994736817973676e-41,7.013798424196097e-41,1.2194062482197595e-40,1.8102835122750284e-40,8.85205159664854e-41
