# Sensei snolab Migdal Fdm=1
# Curve trace by Jelle 2312.13342v2, figure 2, bottom left
# wimp_mass,upper_limit
0.00111583,9.61404e-28
0.00137174,8.70001e-29
0.00165275,1.79317e-29
0.00200454,4.11022e-30
0.00258098,9.42343e-31
0.00331189,3.01099e-31
0.00427807,1.01458e-31
0.00567458,4.28486e-32
0.00865426,1.31652e-32
0.0108484,7.64501e-33
0.0139183,4.74462e-33
0.0199932,2.11374e-33
0.0358780,8.14407e-34
0.0496851,4.98914e-34
0.0594466,4.25724e-34
0.0783223,2.71349e-34
0.101826,2.00142e-34
0.152208,1.13253e-34
0.255576,5.18435e-35
0.499993,2.02486e-35
0.663154,1.20774e-35
0.978201,6.56698e-36
