# wimp mass gev/c^2, ulmed cm^2, ulm1 cm^2, ulp1 cm^2, ulm2 cm^2, ulp2 cm^2
6.000000000000000000e+00,2.685581039429238024e-45,1.258150999240339957e-45,4.960292224898666068e-45,7.440566471652019796e-46,7.056266600511179116e-45
7.000000000000000000e+00,5.653280346930839958e-46,2.571539184726310835e-46,1.065561185655067337e-45,1.632062486997288910e-46,1.562616046541676836e-45
8.000000000000000000e+00,1.713155680852979397e-46,7.980260819533078939e-47,3.256255179184616528e-46,4.913509886030712789e-47,4.755629846346681469e-46
9.000000000000000000e+00,6.722338739038203089e-47,3.152101621073403271e-47,1.355033970235256432e-46,2.030141531846997780e-47,2.022915525852186060e-46
1.000000000000000000e+01,3.638617426758272841e-47,1.661058763973389038e-47,6.918028883536486811e-47,1.049287737884725675e-47,1.015315620946587076e-46
1.200000000000000000e+01,1.264755486025736297e-47,5.979645189711651364e-48,2.573540568285725154e-47,3.962445025954155845e-48,3.743754948170805516e-47
1.400000000000000000e+01,6.877288517775916056e-48,3.148924446752376537e-48,1.337334783781625460e-47,2.065446375980030266e-48,1.967125891451220137e-47
1.500000000000000000e+01,5.298547777218052663e-48,2.479507673536237830e-48,1.044610370793520104e-47,1.657342500597883835e-48,1.548824528222983829e-47
1.800000000000000000e+01,3.177983081677562095e-48,1.516334914186384452e-48,6.230958208735745589e-48,1.010401792931781342e-48,9.326709841705308900e-48
2.000000000000000000e+01,2.537848831456828424e-48,1.214864958927252478e-48,5.005989061053971342e-48,8.188722141913243556e-49,7.414391359294539284e-48
2.500000000000000000e+01,1.803173747136662410e-48,8.308845874152742320e-49,3.599108092967248303e-48,5.711709837628898034e-49,5.388555556584991212e-48
3.000000000000000000e+01,1.372231122871728742e-48,6.518176591226775949e-49,2.948971801765739771e-48,4.559374570348743853e-49,4.391279711636686415e-48
4.000000000000000000e+01,1.304404669025708349e-48,6.113676174515699183e-49,2.647857900994435559e-48,4.180414748209925817e-49,3.946845495813355793e-48
5.000000000000000000e+01,1.363793627720666499e-48,6.380602756486143594e-49,2.687582674779149947e-48,4.393866062254037059e-49,3.969533893305461523e-48
6.000000000000000000e+01,1.371308168766488582e-48,6.318398435505734820e-49,2.733100352742154790e-48,4.323722242333024752e-49,4.111115110549937533e-48
7.000000000000000000e+01,1.491515331362260253e-48,6.641497986311736308e-49,2.983000117039569729e-48,4.520741553202327593e-49,4.405149347950791736e-48
8.000000000000000000e+01,1.604372646341896039e-48,7.285323475792036400e-49,3.161727327148837594e-48,4.801122252136883188e-49,4.751199136847638113e-48
1.000000000000000000e+02,1.932433066885643285e-48,8.846907551053123483e-49,3.715625186155263707e-48,5.793280404523228452e-49,5.369854771384050444e-48
1.200000000000000000e+02,2.062498887608409033e-48,9.943094576186565945e-49,4.179003772590926795e-48,6.469460340979902858e-49,6.352954172626475889e-48
1.500000000000000000e+02,2.835966155895423956e-48,1.354280138433235154e-48,5.025668886945724081e-48,8.776221923595263547e-49,7.142471935867694384e-48
2.000000000000000000e+02,3.126859052193075136e-48,1.476550886279182412e-48,6.310826217148412606e-48,9.783383171140036358e-49,9.305453205789401047e-48
3.000000000000000000e+02,4.703858879205807089e-48,2.232591164554109909e-48,9.303628874276836288e-48,1.483294289052704466e-48,1.364830565234941112e-47
4.000000000000000000e+02,6.169318523438194048e-48,2.887682348522355373e-48,1.230085127237939351e-47,1.906746289013092093e-48,1.780131345523813008e-47
5.000000000000000000e+02,8.186082878002654306e-48,3.594480442247415279e-48,1.532339552427164064e-47,2.362778987636739260e-48,2.284015261187069747e-47
7.000000000000000000e+02,1.083677021482220418e-47,5.000826809281173090e-48,2.099655700348114139e-47,3.305757869994027369e-48,3.181927885367465644e-47
1.000000000000000000e+03,1.582874767102373367e-47,7.376586575685237571e-48,3.034081168773870005e-47,4.803344345455504426e-48,4.483903942938774469e-47
3.300000000000000000e+03,5.168482497655567777e-47,2.367453096009574017e-47,9.898012322842894829e-47,1.524954446446245981e-47,1.506216137026372681e-46
1.000000000000000000e+04,1.513572731182865228e-46,6.979867537826954054e-47,2.987767446019773498e-46,4.489941836768063568e-47,4.350499432817468944e-46
