,mass,cross_section
0,5.0,2.57864e-42
1,5.52604925753,3.73831792376e-43
2,6.10744407932,8.635083692880001e-44
3,6.75000736398,2.84216851286e-44
4,7.46017463641,1.19523122621e-44
5,8.24505850211,5.95781477285e-45
6,9.11251988276,3.34432334181e-45
7,10.0712467465,2.0094789900999998e-45
8,11.1308411211,1.25299981456e-45
9,12.3019152626,8.37642328364e-46
10,13.5961979406,6.0585486397099995e-46
11,15.026651907,4.48509058883e-46
12,16.6076037228,3.39621746367e-46
13,18.3548872443,2.71387884921e-46
14,20.2860022057,2.27325122753e-46
15,22.4202894853,1.9480152764e-46
16,24.7791248128,1.6911710338099999e-46
17,27.3861328548,1.48750826074e-46
18,30.2674238257,1.32590361258e-46
19,33.4518549919,1.19797916751e-46
20,36.9713196882,1.09742627368e-46
21,40.8610667425,1.0426205417200001e-46
22,45.1600535068,1.0760481873699998e-46
23,49.9113360303,1.12030153826e-46
24,55.1625002824,1.17345516876e-46
25,60.9661387458,1.23563229653e-46
26,67.3803771501,1.3076316635400001e-46
27,74.4694566244,1.39039207431e-46
28,82.3043770976,1.4850020980199999e-46
29,90.9636083902,1.59271118389e-46
30,100.533876121,1.71494193821e-46
31,111.111030299,1.85330326738e-46
32,122.801005298,2.00960402158e-46
33,135.72088083,2.18586668224e-46
34,150.000054548,2.38434052086e-46
35,165.781538013,2.6075135174399998e-46
36,183.223389009,2.8581221632800003e-46
37,202.500294559,3.13915808751e-46
38,223.80532048,3.45387024072e-46
39,247.351845013,3.80576114978e-46
40,273.375695897,4.19857553116e-46
41,302.137512267,4.63627932896e-46
42,333.925355067,5.12302704286e-46
43,369.057592088,5.663115050789999e-46
44,407.886086548,6.26092070482e-46
45,450.799721145,6.9213601545299994e-46
46,498.228292865,7.65082433367e-46
47,550.646817573,8.45653030517e-46
48,608.580287482,9.34645771884e-46
49,672.608929157,1.03294309969e-45
50,743.374014714,1.14152106187e-45
51,821.584284415,1.26145945447e-45
52,908.023044978,1.39395309425e-45
53,1003.5560147,1.54032435153e-45
54,1109.13999399,1.7020375011199998e-45
55,1225.83244805,1.88071562886e-45
56,1354.80209788,2.0781573926800002e-45
57,1497.34062542,2.29635623762e-45
58,1654.87561027,2.5375221269399998e-45
59,1828.98482749,2.80410578489e-45
60,2021.4120496,3.09882575248e-45
61,2234.08451116,3.4246985956799996e-45
62,2469.13221083,3.7850726477699995e-45
63,2728.90924408,4.18366571556e-45
64,3016.01738042,4.62460723406e-45
65,3333.33212116,5.11248541504e-45
66,3684.03149864,5.6524000054e-45
67,4071.62790555,6.25002109637e-45
68,4500.00327288,6.91157474944e-45
69,4973.44794899,7.643751436539999e-45
70,5496.70366918,8.45386796442e-45
71,6075.01104598,9.349945089209999e-45
72,6714.16205602,1.03407655694e-44
73,7420.55804891,1.14359354288e-44
74,8201.27385933,1.2645948344700002e-44
75,9064.12866422,1.39822530209e-44
76,10017.764295,1.54573233392e-44
77,11071.7317889,1.7084731008599999e-44
78,12236.5870463,1.88792203464e-44
79,13523.9965524,2.08567847283e-44
80,14946.8542214,2.30347441396e-44
81,16519.4105345,2.5431823137399996e-44
82,18257.4152638,2.80682284059e-44
83,20178.2752126,3.09657255138e-44
84,22301.2285513,3.4148874098e-44
85,24647.5374956,3.76483454204e-44
86,27240.7012555,4.1499604980999995e-44
87,30106.6913895,4.57430145847e-44
88,33274.2119199,5.04246091756e-44
89,36774.9868149,5.55970087402e-44
90,40644.0777168,6.13204913206e-44
91,44920.235098,6.76642586901e-44
92,49646.2863622,7.47079330103e-44
93,54869.5647782,8.25433311155e-44
94,60642.3835407,9.127657335899999e-44
95,67022.5597079,1.01030596683e-43
96,74073.9932623,1.11948157375e-43
97,81867.3070938,1.24195428646e-43
98,90480.5543163,1.37966322722e-43
99,100000.0,1.53487697882e-43
